RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,7.522356E+09,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,4.340554E+08,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000103,退休撫卹,0,,0,,0,,0,,1.770058E+09,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000103,退休撫卹,0,,0,,0,,0,,2.092085E+07,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,5.6095E+08,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,2.426735E+08,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,3.04951E+08,,387040000E,教育局,2018/2/7 下午 04:42:59,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,3.835381E+07,,387040000E,教育局,2018/2/7 下午 04:42:59,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,7.748309E+09,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,4.151795E+08,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000103,退休撫卹,0,,0,,0,,0,,1.815811E+09,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000103,退休撫卹,0,,0,,0,,0,,1.930161E+07,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,4.716336E+08,,387040000E,教育局,2018/2/2 上午 11:07:37,2018/2/8 下午 05:32:39
